# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Bma000192.3	null.152	Bma000192.3	protein_coding	231	500	797	692	9	44	17	13	446	0	153	0	300	726	10	14	53	0	0	63	2	2	468	0
Bma000193.1	null.153	Bma000193.1	protein_coding	0	0	0	2218	0	0	0	0	2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000203.1	null.165	Bma000203.1	protein_coding	24	33	49	775	2	2	0	0	0	0	16	0	518	46	2	1	17	5	1	10	0	0	24	268
Bma000207.1	null.169	Bma000207.1	protein_coding	0	0	0	1492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1492
Bma000208.1	null.170	Bma000208.1	protein_coding	203	321	301	672	4	26	5	9	214	0	163	0	520	271	9	2	78	0	0	52	9	2	268	0
Bma000218.1	null.180	Bma000218.1	protein_coding	16	113	89	468	1	2	1	0	0	0	9	0	498	85	0	2	29	0	0	6	0	0	85	0
Bma000219.1	null.181	Bma000219.1	protein_coding	0	0	0	1165	0	0	0	0	1165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000220.2	null.182	Bma000220.2	protein_coding	170	164	254	577	11	13	14	24	0	0	143	0	631	200	16	2	63	0	0	25	0	0	128	0
Bma000221.1	null.183	Bma000221.1	protein_coding	0	0	0	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876
Bma000223.1	null.186	Bma000223.1	protein_coding	57	270	445	222	3	1	4	6	222	0	39	0	0	433	0	0	1	0	0	17	1	0	270	0
Bma000224.1	null.187	Bma000224.1	protein_coding	0	0	0	360	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000242.1	null.206	Bma000242.1	protein_coding	0	0	0	1295	0	0	0	0	1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000243.1	null.207	Bma000243.1	protein_coding	134	223	244	694	5	24	10	11	140	0	96	0	629	206	10	6	81	0	0	39	0	0	164	0
Bma000271.1	null.237	Bma000271.1	protein_coding	0	0	0	2082	0	0	0	0	2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000272.2	null.238	Bma000272.2	protein_coding	231	451	473	930	3	42	15	15	155	0	161	0	885	421	20	3	134	0	0	100	4	0	364	0
Bma000284.1	null.249	Bma000284.1	protein_coding	0	0	0	1700	0	0	0	0	1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000285.1	null.250	Bma000285.1	protein_coding	79	155	182	2164	1	8	4	0	736	0	56	0	579	173	5	3	39	0	0	27	1	0	132	880
Bma000286.1	null.251	Bma000286.1	protein_coding	0	0	0	2290	0	0	0	0	1711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579
Bma000287.1	null.252	Bma000287.1	protein_coding	237	176	252	1048	16	16	16	24	0	0	185	0	648	203	25	10	81	0	0	49	0	0	137	474
Bma000299.4	null.264	Bma000299.4	protein_coding	64	105	102	711	5	5	4	3	0	0	33	0	754	89	9	12	58	0	0	15	0	0	73	10
Bma000300.1	null.265	Bma000300.1	protein_coding	0	0	0	872	0	0	0	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
